,length_fast,length_slow,devfactor,return,drawdown,sharpe,total_open,total_closed,total_won,total_lost,strike_rate,win_streak,lose_streak,pnl_net,Sell_stop_loss
0,8,20,0.02,0.649950597304103,0.02649377932885978,,1,111,81,30,72.97297297297297,10,5,42464.66,0.001
0,8,20,0.02,0.6499521664118979,0.026493779309193905,,1,110,79,31,71.81818181818181,9,5,42464.74,0.001
0,8,20,0.02,0.6522278872970554,0.026493750787553807,,1,108,77,31,71.29629629629629,9,5,42572.44,0.001
0,8,20,0.02,0.5505389815242296,0.026495025915772272,,1,107,72,35,67.28971962616822,9,5,37757.68,0.001
0,8,20,0.02,0.5416730252267408,0.026495137154468665,,1,104,69,35,66.34615384615384,8,5,37337.68,0.001
0,8,20,0.02,0.5416730252267408,0.026495137154468665,,1,104,69,35,66.34615384615384,8,5,37337.68,0.001
0,8,20,0.02,0.5828415024077563,0.026494620711897055,,1,104,69,35,66.34615384615384,8,5,39287.64,0.001
0,8,20,0.02,1.2832730792598641,0.014900800431427188,,1,119,84,35,70.58823529411765,8,3,60827.92,0.001
0,8,20,0.02,0.5688019482933675,0.0264947968077695,,1,95,63,32,66.3157894736842,8,5,38622.74,0.001
0,8,20,0.02,0.5209335593030269,0.02649539740693945,,1,93,61,32,65.59139784946237,8,5,36355.05,0.001
0,8,20,0.02,0.5181819892226923,0.02649543193967868,,1,95,61,34,64.21052631578948,8,5,36224.67,0.001
0,8,20,0.02,0.5152513253757205,0.026495468721168577,,1,111,66,45,59.45945945945946,8,5,36085.8,0.001
0,8,20,0.02,0.5259733046143494,0.026495334159724267,,1,108,64,44,59.25925925925925,7,5,36593.85,0.001
0,8,20,0.02,0.4491845269682286,0.02649629819514914,,1,105,59,46,56.19047619047619,7,5,32954.14,0.001
0,8,20,0.02,0.4491845269682286,0.02649629819514914,,1,105,59,46,56.19047619047619,7,5,32954.14,0.001
0,8,20,0.02,0.330243250876146,0.026497792954147024,,1,93,50,43,53.76344086021505,6,5,27311.21,0.001
0,8,20,0.02,0.3590026555185304,0.03042510254845802,,1,92,48,44,52.17391304347826,5,5,28676.23,0.001
0,8,20,0.02,0.3311921963000769,0.030425504024979122,,1,91,46,45,50.54945054945055,5,5,27356.26,0.001
0,8,20,0.02,0.47475070250990814,0.026495977141982235,,1,89,45,44,50.56179775280899,4,5,34166.25,0.001
0,8,20,0.02,0.47475070250990814,0.026495977141982235,,1,89,45,44,50.56179775280899,4,5,34166.25,0.001
0,8,20,0.02,0.4551344090162619,0.02649622347048587,,1,88,44,44,50.0,4,5,33236.26,0.001
0,8,20,0.02,1.2947799065664714,0.014900719823576103,,1,108,58,50,53.70370370370371,4,4,61369.23,0.001
0,8,20,0.02,1.0126393565677068,0.02648924225080363,,1,97,55,42,56.70103092783505,6,4,59599.94,0.001
0,8,20,0.02,0.2996071554798489,0.026498178264800346,,1,52,27,25,51.92307692307693,4,3,25856.71,0.001
0,8,20,0.02,0.8823474650278517,0.02680345697428,,1,95,50,45,52.63157894736842,6,5,53451.04,0.001
0,8,20,0.02,0.9474901219072095,0.026802633171610992,,1,94,50,44,53.191489361702125,6,5,56526.28,0.001
0,8,20,0.02,0.9617895184904549,0.026802452414089503,,1,94,50,44,53.191489361702125,6,5,57201.07,0.001
0,8,20,0.02,0.9436710396858993,0.02680268145286074,,1,93,49,44,52.68817204301075,6,5,56346.04,0.001
0,8,20,0.02,0.9325931288589616,0.026802821511832074,,1,87,46,41,52.87356321839081,6,5,55823.19,0.001
0,8,20,0.02,0.9666027255667144,0.026802391576759284,,1,87,46,41,52.87356321839081,6,5,57428.18,0.001
0,8,25,0.02,0.5607777682519997,0.026494897465337362,,1,108,74,34,68.51851851851852,10,5,38242.68,0.001
0,8,25,0.02,0.5325979255072992,0.026495251027872826,,1,107,72,35,67.28971962616822,9,5,36907.73,0.001
0,8,25,0.02,0.5832657180487393,0.026494615391429194,,1,106,72,34,67.9245283018868,9,5,39307.73,0.001
0,8,25,0.02,-0.12337096708215266,0.02793108080058293,,1,33,20,13,60.60606060606061,6,3,5821.74,0.001
0,8,25,0.02,-0.12337096708215266,0.02793108080058293,,1,33,20,13,60.60606060606061,6,3,5821.74,0.001
0,8,25,0.02,-0.12337096708215266,0.02793108080058293,,1,33,20,13,60.60606060606061,6,3,5821.74,0.001
0,8,25,0.02,-0.11424661102297534,0.027930959313699707,,1,33,20,13,60.60606060606061,6,3,6256.72,0.001
0,8,25,0.02,-0.1063791164809568,0.027930854570721596,,1,33,20,13,60.60606060606061,6,3,6631.76,0.001
0,8,25,0.02,-0.11109634677723174,0.027960763313484426,,1,31,18,13,58.06451612903226,5,3,6406.9,0.001
0,8,25,0.02,-0.09473178720419868,0.02796054522999616,,1,31,18,13,58.06451612903226,5,3,7186.93,0.001
0,8,25,0.02,-0.13181965380209998,0.027961039537853116,,1,30,16,14,53.333333333333336,5,3,5418.93,0.001
0,8,25,0.02,-0.08723989773548949,0.02796044540127636,,1,39,20,19,51.28205128205128,5,3,7543.99,0.001
0,8,25,0.02,-0.062413538321191515,0.027960114648421942,,1,37,19,18,51.35135135135135,4,3,8727.04,0.001
0,8,25,0.02,-0.07626073257205633,0.02796029911910311,,1,36,18,18,50.0,4,3,8067.22,0.001
0,8,25,0.02,-0.07626073257205633,0.02796029911910311,,1,36,18,18,50.0,4,3,8067.22,0.001
0,8,25,0.02,-0.08255594639324479,0.027960382992050923,,1,35,17,18,48.57142857142857,4,3,7767.22,0.001
